pc_time,seq,x_m,y_m,z_m,rms_error_m,res_a0_m,res_a1_m,res_a2_m,res_a3_m,w_a0,w_a1,w_a2,w_a3,status_hex,pc_ms,raw_rms_error_m,filtered_flag
2026-05-06 22:07:41.278,174,3.8620,1.0756,1.0344,0.0291,-0.0325,0.0083,-0.0254,0.0401,1.000,1.000,1.000,1.000,0x0000000F,40918,0.0291,
2026-05-06 22:07:41.360,175,3.8602,1.0821,1.0347,0.0509,-0.0570,0.0150,-0.0445,0.0701,1.000,1.000,1.000,1.000,0x0000000F,41008,0.0509,
2026-05-06 22:07:41.449,176,3.8514,1.1018,1.0561,0.0294,-0.0331,0.0092,-0.0254,0.0403,1.000,1.000,1.000,1.000,0x0000000F,41097,0.0294,
2026-05-06 22:07:41.538,177,3.8446,1.1144,1.0837,0.0153,-0.0401,0.0107,-0.0312,0.0490,1.000,1.000,1.000,1.000,0x0000000F,41186,0.0357,accel_spike|interp
2026-05-06 22:07:41.627,178,3.8317,1.1191,1.1012,0.0012,-0.0013,0.0004,-0.0010,0.0016,1.000,1.000,1.000,1.000,0x0000000F,41275,0.0012,
2026-05-06 22:07:41.717,179,3.8227,1.1061,1.0970,0.0320,-0.0358,0.0097,-0.0281,0.0440,1.000,1.000,1.000,1.000,0x0000000F,41365,0.0320,
2026-05-06 22:07:41.806,180,3.8174,1.0970,1.0932,0.0309,-0.0275,0.0069,-0.0219,0.0341,1.000,1.000,1.000,1.000,0x0000000F,41454,0.0247,accel_spike|long_interp|interp
2026-05-06 22:07:41.891,181,3.8192,1.0908,1.0970,0.0297,-0.0279,0.0080,-0.0219,0.0343,1.000,1.000,1.000,1.000,0x0000000F,41543,0.0250,accel_spike|long_interp|interp
2026-05-06 22:07:41.984,182,3.8255,1.0867,1.1058,0.0286,-0.0170,0.0047,-0.0132,0.0208,1.000,1.000,1.000,1.000,0x0000000F,41633,0.0152,accel_spike|long_interp|interp
2026-05-06 22:07:42.073,183,3.8348,1.0840,1.1179,0.0275,-0.0120,0.0037,-0.0095,0.0148,1.000,0.920,1.000,1.000,0x0000000F,41722,0.0108,accel_spike|long_interp|interp
2026-05-06 22:07:42.162,184,3.8457,1.0824,1.1320,0.0263,-0.0436,0.0136,-0.0346,0.0538,1.000,0.923,1.000,1.000,0x0000000F,41811,0.0393,accel_spike|long_interp|interp
2026-05-06 22:07:42.251,185,3.8528,1.0814,1.1474,0.0252,-0.0282,0.0082,-0.0219,0.0346,1.000,0.985,1.000,1.000,0x0000000F,41901,0.0252,
2026-05-06 22:07:42.340,186,3.8333,1.0729,1.1565,0.0054,0.0060,-0.0018,0.0047,-0.0074,1.000,0.972,1.000,1.000,0x0000000F,41990,0.0054,
2026-05-06 22:07:42.429,187,3.8204,1.0676,1.1634,0.0035,-0.0039,0.0011,-0.0031,0.0049,1.000,0.990,1.000,1.000,0x0000000F,42079,0.0035,
2026-05-06 22:07:42.518,188,3.8160,1.0644,1.1583,0.0136,-0.0152,0.0045,-0.0119,0.0187,1.000,1.000,1.000,1.000,0x0000000F,42169,0.0136,
2026-05-06 22:07:42.607,189,3.8135,1.0618,1.1728,0.0277,0.0308,-0.0088,0.0243,-0.0381,1.000,0.968,1.000,1.000,0x0000000F,42258,0.0277,
2026-05-06 22:07:42.697,190,3.8078,1.0568,1.1816,0.0280,0.0312,-0.0092,0.0246,-0.0385,1.000,1.000,1.000,1.000,0x0000000F,42347,0.0280,
2026-05-06 22:07:42.785,191,3.8044,1.0575,1.1867,0.0254,0.0266,-0.0087,0.0211,-0.0368,1.000,0.884,1.000,0.894,0x0000000F,42437,0.0254,
2026-05-06 22:07:42.873,192,3.7937,1.0483,1.2027,0.0138,0.0144,-0.0047,0.0112,-0.0201,1.000,0.928,1.000,0.877,0x0000000F,42526,0.0138,
2026-05-06 22:07:42.964,193,3.7827,1.0470,1.2282,0.0141,0.0132,-0.0048,0.0105,-0.0221,1.000,0.845,1.000,0.737,0x0000000F,42615,0.0141,
2026-05-06 22:07:43.054,194,3.7760,1.0421,1.2440,0.0246,0.0223,-0.0077,0.0177,-0.0393,1.000,0.914,1.000,0.701,0x0000000F,42705,0.0246,
2026-05-06 22:07:43.142,195,3.7812,1.0373,1.2439,0.0224,0.0110,-0.0038,0.0086,-0.0167,1.000,0.911,1.000,0.805,0x0000000F,42794,0.0110,accel_spike|interp
2026-05-06 22:07:43.231,196,3.7949,1.0346,1.2157,0.0202,0.0215,-0.0062,0.0171,-0.0288,1.000,0.982,1.000,0.926,0x0000000F,42883,0.0202,
2026-05-06 22:07:43.320,197,3.8083,1.0474,1.1723,0.0019,0.0021,-0.0006,0.0017,-0.0026,1.000,1.000,1.000,1.000,0x0000000F,42973,0.0019,
