pc_time,seq,x_m,y_m,z_m,rms_error_m,res_a0_m,res_a1_m,res_a2_m,res_a3_m,w_a0,w_a1,w_a2,w_a3,status_hex,pc_ms,raw_rms_error_m,filtered_flag
2026-05-06 22:07:41.278,174,3.8620,1.0756,1.0344,0.0291,-0.0325,0.0083,-0.0254,0.0401,1.000,1.000,1.000,1.000,0x0000000F,40918,0.0291,
2026-05-06 22:07:41.360,175,3.8602,1.0821,1.0347,0.0509,-0.0570,0.0150,-0.0445,0.0701,1.000,1.000,1.000,1.000,0x0000000F,41008,0.0509,
2026-05-06 22:07:41.449,176,3.8514,1.1018,1.0561,0.0294,-0.0331,0.0092,-0.0254,0.0403,1.000,1.000,1.000,1.000,0x0000000F,41097,0.0294,
2026-05-06 22:07:41.538,177,3.8446,1.1144,1.0837,0.0153,-0.0401,0.0107,-0.0312,0.0490,1.000,1.000,1.000,1.000,0x0000000F,41186,0.0357,accel_spike|interp
2026-05-06 22:07:41.627,178,3.8317,1.1191,1.1012,0.0012,-0.0013,0.0004,-0.0010,0.0016,1.000,1.000,1.000,1.000,0x0000000F,41275,0.0012,
2026-05-06 22:07:41.717,179,3.8236,1.1061,1.1256,0.0320,-0.0358,0.0097,-0.0281,0.0440,1.000,1.000,1.000,1.000,0x0000000F,41365,0.0320,
2026-05-06 22:07:42.251,185,3.7990,1.1032,1.1801,0.0252,-0.0282,0.0082,-0.0219,0.0346,1.000,0.985,1.000,1.000,0x0000000F,41901,0.0252,
2026-05-06 22:07:42.340,186,3.7995,1.0868,1.1758,0.0054,0.0060,-0.0018,0.0047,-0.0074,1.000,0.972,1.000,1.000,0x0000000F,41990,0.0054,
2026-05-06 22:07:42.429,187,3.8003,1.0759,1.1738,0.0035,-0.0039,0.0011,-0.0031,0.0049,1.000,0.990,1.000,1.000,0x0000000F,42079,0.0035,
2026-05-06 22:07:42.518,188,3.8051,1.0690,1.1629,0.0136,-0.0152,0.0045,-0.0119,0.0187,1.000,1.000,1.000,1.000,0x0000000F,42169,0.0136,
2026-05-06 22:07:42.607,189,3.8084,1.0640,1.1739,0.0277,0.0308,-0.0088,0.0243,-0.0381,1.000,0.968,1.000,1.000,0x0000000F,42258,0.0277,
2026-05-06 22:07:42.697,190,3.8063,1.0576,1.1806,0.0280,0.0312,-0.0092,0.0246,-0.0385,1.000,1.000,1.000,1.000,0x0000000F,42347,0.0280,
2026-05-06 22:07:42.785,191,3.8051,1.0574,1.1847,0.0254,0.0266,-0.0087,0.0211,-0.0368,1.000,0.884,1.000,0.894,0x0000000F,42437,0.0254,
2026-05-06 22:07:42.873,192,3.7955,1.0477,1.2003,0.0138,0.0144,-0.0047,0.0112,-0.0201,1.000,0.928,1.000,0.877,0x0000000F,42526,0.0138,
2026-05-06 22:07:42.964,193,3.7850,1.0462,1.2258,0.0141,0.0132,-0.0048,0.0105,-0.0221,1.000,0.845,1.000,0.737,0x0000000F,42615,0.0141,
2026-05-06 22:07:43.054,194,3.7784,1.0412,1.2417,0.0246,0.0223,-0.0077,0.0177,-0.0393,1.000,0.914,1.000,0.701,0x0000000F,42705,0.0246,
2026-05-06 22:07:43.142,195,3.7834,1.0365,1.2419,0.0224,0.0110,-0.0038,0.0086,-0.0167,1.000,0.911,1.000,0.805,0x0000000F,42794,0.0110,accel_spike|interp
2026-05-06 22:07:43.231,196,3.7969,1.0338,1.2140,0.0202,0.0215,-0.0062,0.0171,-0.0288,1.000,0.982,1.000,0.926,0x0000000F,42883,0.0202,
2026-05-06 22:07:43.320,197,3.8099,1.0468,1.1709,0.0019,0.0021,-0.0006,0.0017,-0.0026,1.000,1.000,1.000,1.000,0x0000000F,42973,0.0019,
2026-05-06 22:07:43.409,198,3.8183,1.0563,1.1427,0.0096,-0.0012,0.0003,-0.0010,0.0016,1.000,1.000,1.000,0.935,0x0000000F,43062,0.0011,accel_spike|interp
2026-05-06 22:07:43.498,199,3.8137,1.0633,1.1421,0.0174,0.0057,-0.0016,0.0045,-0.0089,1.000,1.000,1.000,0.800,0x0000000F,43151,0.0058,accel_spike|interp
2026-05-06 22:07:43.587,200,3.8006,1.0678,1.1427,0.0251,0.0234,-0.0070,0.0184,-0.0398,1.000,1.000,1.000,0.722,0x0000000F,43240,0.0251,
2026-05-06 22:07:43.673,201,3.7919,1.0689,1.1422,0.0187,-0.0176,0.0050,-0.0140,0.0294,1.000,1.000,1.000,0.740,0x0000000F,43330,0.0187,
2026-05-06 22:07:43.766,202,3.7850,1.0694,1.1388,0.0473,-0.0464,0.0126,-0.0364,0.0729,1.000,1.000,1.000,0.784,0x0000000F,43419,0.0473,
